NodeType,MIMversion,MO,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5
,,Aal5TpVccTp,1,,,,
,,CcDevice,1,,,,
,,Rach,1,,,,
,,PlugInUnit,1,,,,
,,M3uAssociation,1,,,,
,,IpAccessHostGpb,1,,,,
,,NodeSynch,1,,,,
,,IpEthPacketDataRouter,1,,,,
,,VpcTp,1,,,,
,,IpInterface,1,,,,
,,RncCapacity,1,,,,
,,PdrDevice,1,,,,
,,Aal2PathVccTp,1,,,,
,,IurLink,1,,,,
,,NniSaalTp,1,,,,
,,RncModule,1,,,,
,,EthernetSwitchModulePort,1,,,,
,,Aal2Ap,1,,,,
,,IpAccessHostEt,1,,,,
,,EthernetSwitchPort,1,,,,
,,UeRc,1,,,,
,,IpFlowMonitor,0,,,,
,,IubEdch,1,,,,
,,LoadControl,1,,,,
,,Hsdsch,1,,,,
,,SctpAssociation,1,,,,
,,UniSaalTp,1,,,,
,,DcDevice,1,,,,
,,InternalEthernetPort,1,,,,
,,Eul,1,,,,
,,IpAccessHostSpb,1,,,,
,,DchFrameSynch,1,,,,
,,IuLink,1,,,,
,,VclTp,1,,,,
,,VplTp,1,,,,
SPITFIRE,16A-V15,link-group-history,2170,,,,
,,context,2170,,,,
,,dot1q-history,2170,,,,
,,global,2170,,,,
,,port-history,2170,,,,
SPITFIRE,17B-V3,link-group-history,296,,,,
,,context,296,,,,
,,dot1q-history,296,,,,
,,global,296,,,,
,,port-history,296,,,,
SPITFIRE,17A-V7,link-group-history,247,,,,
,,context,247,,,,
,,dot1q-history,247,,,,
,,global,247,,,,
,,port-history,247,,,,
R6672,18A-V3,link-group-history,296,,,,
,,context,296,,,,
,,dot1q-history,296,,,,
,,global,296,,,,
,,port-history,296,,,,
R6672,default,link-group-history,296,,,,
,,context,296,,,,
,,dot1q-history,296,,,,
,,global,296,,,,
,,port-history,296,,,,
SPITFIRE,default,link-group-history,296,,,,
,,context,296,,,,
,,dot1q-history,296,,,,
,,global,296,,,,
,,port-history,296,,,,
